Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,4,1,1,8,28.76,3049.28,7.54,37.93,26.11,75
1,4,1,1,9,29.02,3140.46,8.51,38.56,25.46,310
1,4,1,1,10,28.72,3140.29,8.28,38.2,25.83,114
1,4,1,1,99,28.68,2939.99,6.67,37.49,25.92,593
1,4,1,2,0,26.5,1783.5,0.0,29.5,26.7,2
1,4,1,2,5,32.0,2755.0,10.0,38.0,41.6,1
1,4,1,2,7,23.0,2863.0,8.0,37.0,20.8,1
1,4,1,2,8,32.0,2445.5,6.5,34.5,20.55,2
1,4,1,2,9,32.5,2452.5,20.0,36.5,27.85,2
1,4,1,2,10,32.5,2662.5,5.25,38.25,22.6,4
1,4,1,2,99,26.8,1711.67,3.5,30.71,24.14,15
1,4,1,3,0,32.5,2697.5,4.5,33.67,21.45,4
1,4,1,3,1,38.0,491.0,0.0,22.0,22.6,1
1,4,1,3,7,27.0,2765.0,5.0,36.0,22.9,1
1,4,1,3,8,20.0,1974.0,7.0,35.5,22.55,2
1,4,1,3,9,31.17,3509.83,9.6,38.67,21.82,6
1,4,1,3,10,25.75,3038.25,6.0,37.5,25.12,4
1,4,1,3,99,28.89,2530.26,3.88,35.53,23.33,19
1,4,1,9,0,29.0,3318.0,0.0,37.5,19.5,2
1,4,1,9,1,21.0,255.0,0.0,21.0,19.1,2
1,4,1,9,6,25.0,963.0,8.0,31.0,24.3,1
1,4,1,9,7,21.0,3395.0,13.0,40.0,21.1,1
1,4,1,9,9,27.33,3234.17,9.0,38.5,27.8,6
1,4,1,9,10,29.67,3364.33,8.33,39.33,23.0,3
1,4,1,9,99,28.73,2806.28,4.74,36.59,26.94,60
1,4,2,1,0,18.0,0.0,0.0,30.0,30.1,1
1,4,2,1,1,29.0,397.0,2.0,21.0,18.2,1
1,4,2,1,6,36.0,2653.0,6.5,38.0,25.55,2
1,4,2,1,7,37.0,2603.5,13.0,35.5,25.05,2
1,4,2,1,8,28.5,3754.5,7.0,38.0,22.3,2
1,4,2,1,9,31.3,3027.4,8.68,38.05,27.13,20
1,4,2,1,10,32.8,2991.0,4.25,37.6,26.95,5
1,4,2,1,99,30.0,2914.38,8.86,37.0,25.38,22
1,4,2,2,9,29.0,3170.0,3.0,38.0,27.4,1
1,4,2,9,99,33.33,2242.0,3.67,35.5,36.35,3
1,4,3,1,8,28.0,1320.0,9.0,30.0,21.1,1
1,4,3,1,9,23.25,3376.25,9.75,39.0,25.28,4
1,4,3,1,99,21.0,3033.0,10.0,39.0,34.0,1
1,4,3,3,9,38.0,3339.0,9.0,39.0,26.6,1
1,4,4,1,9,33.5,3431.5,8.5,39.0,22.65,2
1,4,5,1,9,20.0,3310.0,0.0,37.5,24.5,2
1,4,5,1,10,27.0,3159.0,0.0,39.0,30.2,2
1,4,5,1,99,27.11,2908.11,1.75,38.5,28.05,9
1,4,5,2,99,27.0,2916.0,0.0,34.0,19.7,1
1,4,5,9,8,32.0,2642.0,9.0,36.0,27.6,1
1,4,5,9,99,31.0,1844.5,2.2,31.71,22.5,7
1,4,9,1,9,20.0,2665.0,1.0,38.0,29.2,1
1,4,9,3,99,32.0,2801.0,10.0,39.0,25.3,1
1,4,9,9,99,24.5,2784.88,2.0,35.86,32.18,10
1,5,1,1,0,23.33,3241.33,10.33,40.0,25.93,3
1,5,1,1,1,39.5,2669.5,9.0,36.0,23.3,2
1,5,1,1,4,25.0,2648.0,0.0,39.0,22.5,1
1,5,1,1,5,25.0,3232.0,5.0,38.0,22.3,1
1,5,1,1,6,28.83,3497.17,10.17,39.67,22.8,6
1,5,1,1,7,32.54,3501.08,10.69,39.54,22.51,13
1,5,1,1,8,30.5,3297.33,9.8,38.78,24.03,46
1,5,1,1,9,31.62,3545.41,11.13,39.48,24.98,229
1,5,1,1,10,31.86,3538.24,11.27,39.66,23.28,326
1,5,1,1,99,29.85,3227.88,8.19,38.63,24.73,192
1,5,1,2,9,34.0,3311.0,5.0,37.5,29.2,2
1,5,1,2,99,24.5,2835.0,12.5,36.5,23.65,2
1,5,1,3,99,28.0,3144.5,0.67,32.0,26.8,4
1,5,1,9,8,27.0,3577.0,6.5,38.0,22.3,2
1,5,1,9,9,31.0,3492.81,10.38,39.44,24.53,16
1,5,1,9,10,30.5,3550.88,10.12,39.75,28.91,8
1,5,1,9,99,32.34,3387.98,10.09,39.07,23.15,139
1,5,2,1,5,32.0,3572.0,15.0,41.0,19.1,1
1,5,2,1,6,39.0,3033.0,7.0,40.0,28.5,1
1,5,2,1,7,31.0,3033.0,10.0,40.0,26.1,1
1,5,2,1,8,37.0,3572.0,10.0,39.0,21.1,1
1,5,2,1,9,33.86,3798.86,12.67,39.86,28.11,7
1,5,2,1,10,31.2,3726.5,10.3,39.6,26.23,10
1,5,2,1,99,31.67,3324.17,8.17,39.5,21.72,6
1,5,2,2,99,22.0,2625.0,2.0,29.0,22.0,1
